0: 2023
1: 1589,1947,1142,1629,71,1518
2: 1308,1848,338,188,987,1597
3: 
4: 2024
5: 
6: 613,1136,596
7: 742,766,635,942,1061
8: 2022
9: 1428,1073,408
10: 486,1036,271,1743,1314,365,1939,503
11: 1524,379,1822,920,527,1417,317
12: 533,688,168,1856,1610,1602,1203,82,1569,1794
13: 387,925,1295,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 580,1035,1016,609,1989,426,648,1354
17: 292,673,915,1191,1002,857,618,1831
18: 1751,1051,1415,1745,1109,1734,687,1120,1988,1474,821
19: 449,282,419,482,946,619
20: 660,934,1019,1101,442,1400,1714
21: 361,403,1531,893,1978
1994: 144,1902,1144,1289,392,1817,41,1422
1997: 1757,1915,1360,1502,1252,1288,910,1157
24: 1878,1410,1249,1133,992,1885,898
25: 1004,536,440,1058,1542,1126,463
26: 696,147,1449,1781,662,1676,302
27: 624,1027,935,1234
28: 905,220,1537,1401,1709,1125,160
29: 293,1181,495,1778,637,1172,1137
30: 1132,794,312,812,94,324,213
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,982,1432,1933,1052,1711,40
33: 1338,633,1266,1515,818,1468
34: 1026,1703,933,989,1760,647,1723,1473
35: 1034,519,97,1574,723
36: 375,919,1855,1456
37: 1787,1742,1351,634
38: 533,688,1580,168,1569,713,523,1739
39: 539,1600,1644,622,718,143
40: 1711,1412,1613,1432,32,605,982
41: 1817,578,1863,686,1902,1994,320
42: 337,1896,1336,1305,1770,1409,1372,1286
43: 1806,775,467,63,1538,1956
44: 1825,1567,1615,489,130,1575
45: 1439,1535,1630,115,1684,1064,89
46: 1411,1331,1666,1877,208,1260,165
47: 1128,1862,1278,478,67,238,1402,939
48: 1426,737,264,2009,790,747,1035,1016
49: 157,1427,414,793,1462,969
50: 1431,2019,1141,1767,151,1617,490,1526
51: 567,667,1251,940,862,1608,628
52: 276,1371,280,1962,1886,1359,192
53: 258,601,838,641,602,1020
54: 1763,839,1591,1320,372,123,176
55: 1606,113,393,1221,191,1498,481,1917
56: 1960,695,1279,808,1405,1813,437
57: 414,1784,1948,1165,793,1206
58: 1634,1240,1358,1781,1676,1478,1421,1797
59: 851,992,117,576,510,898,951
