0: 2023,2027
1: 1589,1947,1142,1629,1353,71,1518
2: 987,1848,188,712,338,1788,615,1707
3: 2025
4: 2024
5: 2026
6: 613,1136,596
1930: 1317,1118,846,1047,1256,186,719
8: 2022
9: 1428,1073,408
1929: 1861,1823,1247,1993,1304,740
11: 1524,379,1417,724,1065,920,527,317
12: 1856,533,688,168,1610,1602,82,1794,1569
13: 387,925,1295,189,1425,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 1035,580,1016,1354,609,1426,1989,426,648
17: 915,292,1521,673,860,1827,1191,857,1119,1831
18: 1751,1051,1415,1745,821,1734,1109,687,1120,1988
19: 449,282,482,524,946,619,364
20: 660,1019,1101,1714,1400
1910: 1414,659,631,684,1840,1859,785
1994: 1144,1902,144,1289,392,1817,41,1422
1997: 1757,1915,1157,1360,1502,1411,1252,1288,910
24: 1878,843,1133,1410,1249,898,992,1885
25: 1004,536,440,1236,1542,1058,463
26: 696,147,662,1781,1449,1421,302
27: 1027,935,624,1234
28: 160,220,1537,1401,1125,1709,905
29: 1137,495,1778,1172,637,293,1181
30: 94,213,312,1132,794,812
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 40,1711,629,1432,1933,1052,605,982
33: 1338,633,1266,818,1515,1468
34: 647,687,1703,1026,933,1473,1760
35: 1034,97,519,1574,1297,723
1946: 1470,583,1520,134,1981,1175,1568,306,665
37: 1787,1140,634,1715
38: 688,1580,168,1569,1739,1460,1153,713
39: 143,1600,718,539,1644,622,1170
40: 1613,1105,1711,1412,32,605,982
41: 1817,1863,578,320,686,1144,1994,1902
42: 337,1896,1770,1409,1305,1336,1372
43: 1806,775,467,63,1691,1538
44: 672,1567,1825,1615,2002,489,130
45: 1439,1535,115,1630,1684,1064,450
46: 1411,1331,1666,1877,208,1260,165
47: 478,238,67,1128,1862,1278,1402,939
48: 1426,2009,790,1035,1016,747
49: 157,961,1427,414,793,1462,969
1904: 1490,1277,715,1152,1802,1874,199
51: 567,667,1251,1608,628,722,940
52: 276,1371,280,1962,1359,1886,192
53: 258,1020,1713,641,1090,602,601
54: 1763,839,1591,1320,123,372,176
55: 191,2008,1221,334,401,113,393
56: 1279,798,808,1813,437,695,1960
57: 414,1784,793,1948,1165,1206
58: 1634,1240,1421,1358,1781,1696,1478,302,1797
59: 898,992,117,576,510,1885,851
60: 630,1852,1454,1605,283,1029
61: 1756,446,895,1921,1446,229,1370,1148
62: 384,1925,1880,1878,977
63: 1404,1556,1491,1538,775,43
64: 1253,1293,1609,1309,210,716,1261
65: 656,1391,532,1828,1873
66: 930,216,1616,1038,427,1966,396,1368
67: 169,759,1774,238,47,1862,1402,939,995
68: 1831,781,1893,857,200,1192,1363,981
69: 1692,148,1645,247,629,1105,1711
70: 1066,475,1172,637,201,1077,1853,1189
71: 1644,622,190,1589,1,1629,2014,1518
72: 787,1128,1862,939,1620
1922: 755,869,1244,357,1525,207,617
74: 805,739,1050,1038,691,1700,1157,216,1985,1380
75: 1457,424,1282,1857,240,1565,245,1587,589,1339
76: 546,429,1973,1165,1224,1206
77: 1216,1210,183,963
78: 1638,877,1161,771,1319,268,1229,1541
79: 1093,1788,378,1938,542,1012,259
80: 764,1087,969,534,1427,574,1792
81: 139,1768,881,1523,96,728
82: 159,1794,2006,136,783,1602,1856,12
83: 1332,1593,606,1772,1392,472,558
84: 1439,1535,725,1329,181,1675
85: 1919,1147,404,810,626,1468
86: 1361,842,372,1452,1027,107,1202
87: 1540,1315,1937,1650,837,714,1365,791
88: 1073,2016,1694,1128,1237,1278
1866: 465,1705,1303,1404,1556
90: 1966,1244,1368,198,1493,869,736,677,357,1525
91: 740,1296,1247,711,1292,832,1989,1037
92: 1059,1572,686,1968,884,1144,1902,1044
93: 1717,470,1652,921
94: 30,213,1329,312,1793,1892,725
95: 314,1180,1669,485,1283,1095,710,1328
96: 126,1464,310,81,881,1523
97: 35,1034,723,1141,1030,1553,1764
98: 250,1360,1502,1666,853,1682,528,208,1411,1252
99: 595,142,999,1710,1829,323,1113,552,297
100: 1682,1731,528,1324,694,825,1666,1877,208,1548
101: 1954,733,768,1995,1008,621,1298,389,2017
102: 1891,1858,1222,847
103: 1827,1191,122,1227,243,1744,880
104: 1387,1895,106,1680,2021,1749,1046,779
105: 1533,219,1004,440,1259,422
106: 1982,1680,1006,970,1420,286,1895,104
107: 727,1027,935,455,1452,348,842,86
108: 389,2017,119,709,1195,1656,1764,1374
109: 1972,1397,836,705,1470,583,1520,941,1841
110: 547,770,952,1121,543,464,497
111: 212,564,1440,843,1410,1232,817
112: 873,351,931,309,948,215,1623,1443,593,385
113: 1268,481,393,1221,191,55,1917,1498
114: 645,1469,345,1741,2018,1192,1545,246
115: 1884,316,1630,45,1684,291,450
116: 1610,1926,1602,1048,517,424,720
117: 59,992,576,1410,1232,966,425
118: 1662,218,349,1070,1744,880
119: 389,108,2017,709,1656,253,1888,1416,1374
120: 903,789,499,1377,1489,1146
1858: 102,1499,847,1839
122: 1191,103,857,1883,243,1369,200,196,149
123: 1361,372,1320,54,176,1508
1893: 920,781,68,527,1192,1363,1310,981
125: 772,411,254,295,1882,270,1979,1571,230
126: 96,1464,14,494,564,310,748,817
1945: 1270,2013,949,653,1935,360,1681,1254,1795,234
128: 303,1828,1516,826,548,1211,1107
129: 1758,1176,997,1934,541
130: 734,1116,826,1615,44,1567
131: 846,1592,380,1340,780,1746,1129
132: 1067,164,975,1805,475,1077
133: 623,951,576,804,699,425
134: 1470,1946,1981,1585,1725,341,941
135: 350,1318,1909,342,403,361,1025,456
136: 1422,783,1817,972,82,2006
137: 1888,1150,1416,853,694,1682,1731,528
138: 1737,763,1780,707,325,1872
139: 388,81,1768,1523,262,1326,870
140: 1171,602,170,1557,746,1824,1833
141: 562,955,1636,876,1118,1820,719,1033,1271,195
142: 595,1383,99,1649,588,999,501,1829,297
143: 39,718,1644,1170,960,529
144: 1144,1994,1463,1730,1289,392
145: 1288,809,1382,1985,1017,729,1907,1750
146: 1177,1486,1115,350,1909,942
147: 696,649,26,806,1134,2000,1449
148: 1269,1692,69,1623,1645,247,557,1105
149: 2018,1192,196,1883,122,1741,1733,1369
150: 318,476,823,690,194,223,1648
151: 723,1141,1767,1617,1030,225,1297,398,1435
152: 175,1359,192,693,985,994
153: 998,769,1496,1495,524,289,1242,946
154: 1238,957,415,1096,1486,1975,742,347,1180
2026: 5
156: 1815,1111,169,512,515,468,1168,1100
157: 49,703,961,1427,414,1539
158: 1385,792,1100,1011,1209,568
159: 82,1794,2006,926,1996,540
160: 28,220,1401,1346,1799,1646,1686
161: 1103,1769,1074,1667,1390,585,1156,1225
162: 697,405,339,1403,1186,206
163: 1429,333,509,1670,1554,1080,1905
164: 1067,132,454,444,975
165: 1021,800,1009,1260,46,1331,1293
166: 773,731,1321,241,1375,660,934,530,269,700
167: 797,1008,621,1566,236,912,460,866
168: 1856,38,533,688,1580,12,1610
169: 1815,67,1111,759,1774,156,515,238
170: 754,1722,796,1341,1920,1444,1557,1218,1824,140
171: 1653,1763,839,330,257,421,1143
172: 577,1691,967,1608,722,1690,940
2005: 301,443,1830,906,417,782,1719
174: 1215,680,305,550,1208,288,1197,2012
175: 802,152,1359,192,332,1773,693,994
176: 1508,1230,428,1942,123,54,1653,1763,839
2009: 589,264,875,1426,737,48,790,747
1887: 294,1064,1789,1675,1535,717,1041
179: 1297,398,1987,252,1796,1081,1388,1479,180
180: 1479,1574,1796,1297,179,398
181: 1481,923,1675,1740,1329,84
182: 1494,226,811,262,1326,639,889
183: 1361,842,1234,1210,1216,77
1856: 533,688,168,12,1610,1602,397,82
185: 769,1496,1964,994,399,549,404,1753
186: 1032,719,1539,1047,1256,1118,1930
187: 999,501,506,1601,195,562,490,1614,1526
188: 987,1848,2,1597,774,1547,338
189: 516,362,1908,13,925,1425,855
190: 1644,71,1712,1170,431,2014,1518,1060,1179
191: 1114,2008,55,113,393,1917,1498
192: 152,175,1359,1886,242,1371,280,52,1104,985,994
193: 1736,1766,694,1650,1424,466,1150,1678,356,1345
194: 1779,1357,690,223,150,823,1330,1648,1388,1746,1755
195: 1431,1033,2019,1271,141,562,876,1526,187,506
196: 200,2018,1192,149,122,857,1369
197: 1801,1370,1115,1207,1148,573
198: 1966,1368,90,1038,1493,1380,1017,736
199: 1277,1904,1152,777,531,447,1204,886
200: 2018,1192,196,1363,122,857,1831,781,68
201: 1053,1077,1001,70,475,1853,1189
202: 1553,1656,1764,409,479,604,1374,1500,1818
203: 1549,435,1840,1290,1102,744,1728
204: 1626,1290,919,382,346,1549
1940: 1317,1118,1139,1435,1767,1033,2019,1271
206: 1961,900,1186,405,162,905
207: 948,617,755,1193,869,1922,949
208: 1877,1260,1548,100,1682,98,1666,1411,46
1968: 657,1059,92,686,614,750,1433,578
210: 863,592,493,1309,64,1790,1261,1913
2017: 389,108,119,1195,871,1298,101,733
212: 111,564,1440,439,1348,843,977
213: 30,94,1693,1879,812,1892,725
214: 1999,1698,1791,1263,336,854,1847
215: 229,1631,1231,357,948,617,112,351
216: 930,66,1616,805,74,1050,1038,1368
217: 668,1775,1467,761,840,1233,1965,451
218: 1662,118,1569,1227,1153,713,880
219: 105,1533,1806,467
220: 160,28,1537,1401,905,668,1346,488
221: 1623,1443,593,1645,247,1708,234,1270,309
1883: 273,452,243,1744,122,813,1733,1369,149
223: 1779,690,194,488,451,1467,840,318,150
224: 1619,993,1544,1835,1362,1138,1979
225: 1297,398,1987,1139,1435,151,1767
226: 1494,182,870,639,326,1394,566
1857: 75,1457,1124,856,1565,245,517,1289,1552
228: 756,1688,1071,1718,947,599,1720,1168
229: 1446,1631,215,1921,677,1231,357,701,61,895,351
230: 1211,1107,1571,685,1979,1619,1516,125
1878: 843,1133,1876,24,1410,977,62,1925,1249
232: 1484,672,1567,1825,1664,1803,678,1702
233: 1640,943,603,1562,1333,1285,507,1097,692
234: 221,1443,593,247,1708,1270,1945,2013,309
235: 1543,791,1697,1944,1365,1338,1266
236: 738,707,325,912,1566,460,866,797,167
237: 1955,1927,658,461,563,251
238: 319,478,47,1815,67,169,1774
239: 590,901,1471,1834,859,315
240: 1565,433,245,996,1587,505,904,75
241: 166,1321,1916,1375,660,934,1019,978
242: 276,1371,280,1396,192,1010,655,553,1104
243: 273,1883,1744,880,103,122,1369
244: 1310,1488,712,1475,1482,1093,615
245: 240,1565,996,1587,75,1857
246: 1054,1545,666,799,1469,114,1637
247: 221,1443,593,1645,1708,234,671,629,148,69
248: 918,914,1803,678,1702
1891: 102,343,1222,847,1990,965
250: 98,1360,1502,479,853,765,528
251: 1241,1927,237
252: 179,398,1987,1139,2003,1081,1388,1755,1129,1592
253: 1424,625,1954,733,389,119,709,1150,1416
254: 125,772,411,1185,295,1732
255: 1446,1631,873,1188,1148,573
256: 1507,1528,902,753,1385,792
257: 330,1704,850,1159,1591,171,839
258: 53,1658,602,1505
259: 542,1012,378,79,1938,1894,795
260: 499,790,1339,1610,1926,397,747,903
261: 385,1983,1188,1344,555,1024,1821
262: 1494,811,182,1326,639,139,388,1632,508,1013
263: 1571,685,1953,772,1941,1302
264: 589,2009,875,1282,790,1339
265: 1618,833,620,968,1264,1974,1190
266: 1578,1786,591,631,684,321
267: 1550,269,636,745,522,492,386,1430
268: 1936,976,496,1205,1319,974,1419,78,1229
269: 1550,267,636,700,745,530,773,166,386
270: 1809,1362,1882,1238,957,415,1096,314,125,411,295
271: 486,1036,1314,384,1925,365,1939
1974: 1054,799,1190,285,833,265,968,1264
273: 1070,452,1883,243,1744,349,1114,813,1733,1369
1890: 588,441,827,371,955,1636,501
275: 1243,1425,1200,473,855,2004,1167
276: 242,1371,280,52,294,1396,1559
277: 598,878,927,831,916,938,348
278: 545,343,1990,782,1719,815,1830,1798
279: 1078,1213,525,815,1765,1454,545
280: 242,276,1371,52,1962,294,1789,1559,1886,192
281: 1098,708,1558,1236,1542,751,1028
