,,,1/Circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.332,0.284,0.321,3.012048193,3.521126761,3.115264798
0.672,0.392,0.522,1.488095238,2.551020408,1.915708812
0.481,0.651,0.458,2.079002079,1.53609831,2.183406114
0.57,0.462,0.372,1.754385965,2.164502165,2.688172043
0.612,0.312,0.512,1.633986928,3.205128205,1.953125
0.382,0.454,0.295,2.617801047,2.202643172,3.389830508
0.658,0.305,0.542,1.519756839,3.278688525,1.84501845
0.541,0.428,0.615,1.848428835,2.336448598,1.62601626
0.735,0.465,0.355,1.360544218,2.150537634,2.816901408
0.454,0.384,0.478,2.202643172,2.604166667,2.092050209
0.512,0.479,0.331,1.953125,2.087682672,3.021148036
0.479,0.335,0.498,2.087682672,2.985074627,2.008032129
,0.495,0.242,,2.02020202,4.132231405
,0.522,,,1.915708812,
,0.402,,,2.487562189,
