,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.224,0.322,0.318,4.464285714,3.105590062,3.144654088
0.832,0.481,0.632,1.201923077,2.079002079,1.582278481
0.768,0.395,0.453,1.302083333,2.53164557,2.207505519
0.852,0.45,0.526,1.17370892,2.222222222,1.901140684
0.384,0.513,0.367,2.604166667,1.949317739,2.72479564
0.572,0.374,0.397,1.748251748,2.673796791,2.518891688
0.917,0.278,0.242,1.090512541,3.597122302,4.132231405
0.655,0.894,0.424,1.526717557,1.118568233,2.358490566
0.721,0.405,0.331,1.386962552,2.469135802,3.021148036
0.453,0.46,0.512,2.207505519,2.173913043,1.953125
0.834,0.216,0.283,1.199040767,4.62962963,3.533568905
0.287,0.349,0.475,3.484320557,2.865329513,2.105263158
0.671,0.435,0.548,1.490312966,2.298850575,1.824817518
0.489,0.351,,2.044989775,2.849002849,
0.748,0.463,,1.336898396,2.159827214,
0.565,,,1.769911504,,
0.893,,,1.119820829,,
