x,y,z,inflammatory_signal,ecm
-790,-790,0,0,10
-770,-790,0,0,10
-750,-790,0,0,10
-730,-790,0,0,10
-710,-790,0,0,10
-690,-790,0,0,10
-670,-790,0,0,10
-650,-790,0,0,10
-630,-790,0,0,10
-610,-790,0,0,10
-590,-790,0,0,10
-570,-790,0,0,10
-550,-790,0,0,10
-530,-790,0,0,10
-510,-790,0,0,10
-490,-790,0,0,10
-470,-790,0,0,10
-450,-790,0,0,10
-430,-790,0,0,10
-410,-790,0,0,10
-390,-790,0,0,10
-370,-790,0,0,10
-350,-790,0,0,10
-330,-790,0,0,10
-310,-790,0,0,10
-290,-790,0,0,10
-270,-790,0,0,10
-250,-790,0,0,10
-230,-790,0,0,10
-210,-790,0,0,10
-190,-790,0,0,10
-170,-790,0,0,10
-150,-790,0,0,10
-130,-790,0,0,10
-110,-790,0,0,10
-90,-790,0,0,10
-70,-790,0,0,10
-50,-790,0,0,10
-30,-790,0,0,10
-10,-790,0,0,10
10,-790,0,0,10
30,-790,0,0,10
50,-790,0,0,10
70,-790,0,0,10
90,-790,0,0,10
110,-790,0,0,10
130,-790,0,0,10
150,-790,0,0,10
170,-790,0,0,10
190,-790,0,0,10
210,-790,0,0,10
230,-790,0,0,10
250,-790,0,0,10
270,-790,0,0,10
290,-790,0,0,10
310,-790,0,0,10
330,-790,0,0,10
350,-790,0,0,10
370,-790,0,0,10
390,-790,0,0,10
410,-790,0,0,10
430,-790,0,0,10
450,-790,0,0,10
470,-790,0,0,10
490,-790,0,0,10
510,-790,0,0,10
530,-790,0,0,10
550,-790,0,0,10
570,-790,0,0,10
590,-790,0,0,10
610,-790,0,0,10
630,-790,0,0,10
650,-790,0,0,10
670,-790,0,0,10
690,-790,0,0,10
710,-790,0,0,10
730,-790,0,0,10
750,-790,0,0,10
770,-790,0,0,10
790,-790,0,0,10
-790,-770,0,0,10
-770,-770,0,0,10
-750,-770,0,0,10
-730,-770,0,0,10
-710,-770,0,0,10
-690,-770,0,0,10
-670,-770,0,0,10
-650,-770,0,0,10
-630,-770,0,0,10
-610,-770,0,0,10
-590,-770,0,0,10
-570,-770,0,0,10
-550,-770,0,0,10
-530,-770,0,0,10
-510,-770,0,0,10
-490,-770,0,0,10
-470,-770,0,0,10
-450,-770,0,0,10
-430,-770,0,0,10
-410,-770,0,0,10
-390,-770,0,0,10
-370,-770,0,0,10
-350,-770,0,0,10
-330,-770,0,0,10
-310,-770,0,0,10
-290,-770,0,0,10
-270,-770,0,0,10
-250,-770,0,0,10
-230,-770,0,0,10
-210,-770,0,0,10
-190,-770,0,0,10
-170,-770,0,0,10
-150,-770,0,0,10
-130,-770,0,0,10
-110,-770,0,0,10
-90,-770,0,0,10
-70,-770,0,0,10
-50,-770,0,0,10
-30,-770,0,0,10
-10,-770,0,0,10
10,-770,0,0,10
30,-770,0,0,10
50,-770,0,0,10
70,-770,0,0,10
90,-770,0,0,10
110,-770,0,0,10
130,-770,0,0,10
150,-770,0,0,10
170,-770,0,0,10
